Nom,Prix,Carburant,Modèle,CV,KM,Ville
MERCEDES Classe E,250.000 DH  VENDUE,Diesel,2015,9 cv,140.000 km,Casablanca
SEAT Ibiza,108.000 DH  VENDUE,Essence,2017,6 cv,37.800 km,Casablanca
KIA Sportage,160.000 DH  VENDUE,Diesel,2015,7 cv,150.000 km,Tiznit
FIAT 500,145.000 DH  VENDUE,Essence,2020,7 cv,25.700 km,Rabat
MERCEDES Classe C,88.000 DH  VENDUE,Diesel,2003,9 cv,300.000 km,Rabat
VOLKSWAGEN Passat,68.000 DH  VENDUE,Diesel,2003,8 cv,298.000 km,Casablanca
CITROEN C4,95.000 DH  VENDUE,Diesel,2017,6 cv,176.000 km,Salé
CHEVROLET Camaro,210.000 DH  VENDUE,Essence,2013,35 cv,37.500 km,Casablanca
HONDA CR-V,75.000 DH  VENDUE,Diesel,2013,9 cv,123.000 km,Casablanca
FIAT Palio,38.000 DH  VENDUE,Diesel,2006,cv,231.260 km,Salé
AUDI A3 Berline,18.500 DH  VENDUE,Diesel,2015,6 cv,96.000 km,Fès
RENAULT Kadjar,175.000 DH  VENDUE,Diesel,2020,6 cv,99.000 km,Casablanca
AUDI A5 SportBack,200.000 DH  VENDUE,Diesel,2014,9 cv,135.000 km,Rabat
VOLKSWAGEN Tiguan,330.000 DH  VENDUE,Diesel,2017,8 cv,105.000 km,Agadir
MITSUBISHI Pajero,145.000 DH  VENDUE,Diesel,2012,cv,160.000 km,El Jadida
VOLKSWAGEN Golf,173.000 DH  VENDUE,Diesel,2016,8 cv,100.000 km,Agadir
VOLKSWAGEN Coccinelle,190.000 DH  VENDUE,Diesel,2018,8 cv,75.000 km,Tanger
VOLKSWAGEN CC,185.000 DH  VENDUE,Diesel,2016,8 cv,118.000 km,Casablanca
AUDI A3 Berline,230.000 DH  VENDUE,Diesel,2017,8 cv,80.000 km,Agadir
VOLKSWAGEN Golf,480.000 DH  VENDUE,Diesel,2021,8 cv,42.000 km,Casablanca
VOLKSWAGEN Golf,380.000 DH  VENDUE,Diesel,2020,8 cv,83.000 km,Casablanca
RENAULT Clio,175.000 DH  VENDUE,Diesel,2021,6 cv,9.000 km,Khouribga
FIAT FullBack,118.000 DH  VENDUE,Diesel,2018,cv,76.000 km,Agadir
HYUNDAI i30,235.000 DH  VENDUE,Diesel,2022,6 cv,11.000 km,Beni Mellal
RENAULT Koleos,270.000 DH  VENDUE,Diesel,2019,8 cv,37.000 km,Casablanca
FIAT 500X,235.000 DH  VENDUE,Diesel,2023,6 cv,23.000 km,Tanger
KIA Sportage,160.000 DH  VENDUE,Diesel,2015,6 cv,150.000 km,Tiznit
KIA Sportage,160.000 DH  VENDUE,Diesel,2015,7 cv,150.000 km,Casablanca
HYUNDAI Tucson,228.000 DH  VENDUE,Diesel,2019,6 cv,107.000 km,Salé
DACIA Logan,120.000 DH  VENDUE,Diesel,2019,6 cv,74.000 km,Casablanca
RENAULT Symbol,67.000 DH  VENDUE,Essence,2012,7 cv,150.000 km,Casablanca
MAZDA 2,55.000 DH  VENDUE,Essence,2011,8 cv,200.000 km,Casablanca
HYUNDAI Tucson,290.000 DH  VENDUE,Diesel,2021,6 cv,46.000 km,Fès
KIA Sportage,175.000 DH  VENDUE,Diesel,2015,8 cv,96.000 km,Agadir
SEAT Leon,180.000 DH  VENDUE,Diesel,2019,6 cv,57.600 km,Temara
RENAULT Clio,107.000 DH  VENDUE,Diesel,2017,6 cv,66.000 km,Laayoune
HYUNDAI Santa Fe,189.000 DH  VENDUE,Diesel,2016,9 cv,126.000 km,Khouribga
OPEL Astra,153.000 DH  VENDUE,Diesel,2017,6 cv,92.500 km,Kénitra
KIA Picanto,46.000 DH  VENDUE,Essence,2009,6 cv,81.000 km,Fès
MAZDA 3,108.000 DH  VENDUE,Diesel,2011,9 cv,180.000 km,Rabat
TOYOTA Yaris,100.000 DH  VENDUE,Essence,2019,6 cv,97.000 km,Rabat
VOLKSWAGEN Jetta,178.000 DH  VENDUE,Diesel,2019,8 cv,43.000 km,Rabat
AUDI A3,177.000 DH  VENDUE,Diesel,2013,6 cv,134 km,Casablanca
DACIA Duster,135.000 DH  VENDUE,Diesel,2015,6 cv,65.000 km,El Jadida
VOLKSWAGEN CC,178.000 DH  VENDUE,Diesel,2015,8 cv,150.000 km,Marrakech
AUDI A3 Berline,290.000 DH  VENDUE,Diesel,2019,8 cv,72.747 km,Agadir
RENAULT Laguna,45.000 DH  VENDUE,Essence,2009,11 cv,230.000 km,Rabat
MERCEDES Classe A,179.000 DH  VENDUE,Diesel,2014,7 cv,81.000 km,Marrakech
HYUNDAI i40,140.000 DH  VENDUE,Diesel,2014,7 cv,125.000 km,Agadir
LANCIA Ypsilon,72.000 DH  VENDUE,Essence,2013,7 cv,75.000 km,Rabat
RENAULT Kangoo,110.000 DH  VENDUE,Diesel,2017,6 cv,52.000 km,Larache
CITROEN C5 AirCross,235.000 DH  VENDUE,Diesel,2021,6 cv,6.250 km,Rabat
DACIA Duster,175.000 DH  VENDUE,Diesel,2020,6 cv,141.000 km,Casablanca
RENAULT Clio,90.000 DH  VENDUE,Diesel,2014,6 cv,126.000 km,Rabat
RENAULT Mégane Sedan,195.000 DH  VENDUE,Diesel,2020,6 cv,40.900 km,Tanger
CITROEN C-Elysée,105.000 DH  VENDUE,Diesel,2018,6 cv,72.024 km,Casablanca
DACIA Duster,135.000 DH  VENDUE,Diesel,2015,6 cv,65.000 km,El Jadida
LAND ROVER Range Rover Velar,600.000 DH  VENDUE,Diesel,2021,8 cv,36.000 km,Casablanca
TOYOTA Hilux,700.000 DH  VENDUE,Diesel,2023,9 cv,0 km,Casablanca
RENAULT Mégane,170.000 DH  VENDUE,Diesel,2019,6 cv,103.000 km,Casablanca
DACIA Sandero,96.000 DH  VENDUE,Diesel,2015,9 cv,65.000 km,Khénifra
DACIA Logan,89.000 DH  VENDUE,Essence,2021,6 cv,37.000 km,Meknès
BMW Série 4 Gran Coupé,290.000 DH  VENDUE,Diesel,2016,8 cv,150.000 km,Casablanca
PEUGEOT 3008,248.000 DH  VENDUE,Diesel,2019,8 cv,22.100 km,Casablanca
RENAULT Clio,120.000 DH  VENDUE,Diesel,2016,6 cv,107.000 km,Casablanca
PEUGEOT 3008,250.000 DH  VENDUE,Diesel,2019,8 cv,87.000 km,Kénitra
JAGUAR XF,65.000 DH  VENDUE,Essence,2009,17 cv,131.000 km,Agadir
AUDI Q5,407.000 DH  VENDUE,Diesel,2019,8 cv,38.000 km,Marrakech
BMW X3,225.000 DH  VENDUE,Diesel,2015,8 cv,100.700 km,Casablanca
KIA Sportage,195.000 DH  VENDUE,Diesel,2020,8 cv,47.009 km,Kénitra
AUDI Q2,290.000 DH  VENDUE,Diesel,2020,8 cv,36.000 km,Tanger
MERCEDES Classe C,66.000 DH  VENDUE,Diesel,2000,8 cv,358.000 km,Khouribga
AUDI A4,60.000 DH  VENDUE,Diesel,2003,8 cv,316.000 km,Temara
RENAULT Koleos,170.000 DH  VENDUE,Diesel,2015,8 cv,210.000 km,Casablanca
FORD Fiesta,100.000 DH  VENDUE,Diesel,2014,6 cv,174.000 km,Casablanca
MERCEDES GLK,160.000 DH  VENDUE,Diesel,2011,9 cv,160.000 km,Casablanca
HYUNDAI Tucson,53.000 DH  VENDUE,Essence,2007,cv,112.700 km,Rabat
SEAT Ibiza,140.000 DH  VENDUE,Essence,2022,6 cv,7.000 km,Tanger
VOLKSWAGEN Golf,180.000 DH  VENDUE,Diesel,2015,6 cv,175.000 km,Casablanca
PEUGEOT 205,32.000 DH  VENDUE,Diesel,1998,7 cv,350.000 km,Tiznit
MERCEDES Classe C,269.000 DH  VENDUE,Diesel,2016,8 cv,180.000 km,Rabat
PEUGEOT 208,90.000 DH  VENDUE,Essence,2017,6 cv,34.000 km,Rabat
PEUGEOT 308,60.000 DH  VENDUE,Essence,2008,7 cv,180.000 km,Casablanca
VOLVO V40,155.000 DH  VENDUE,Diesel,2015,6 cv,142.000 km,Rabat
RENAULT Mégane,100.000 DH  VENDUE,Diesel,2013,7 cv,198.000 km,Casablanca
RENAULT Mégane,95.000 DH  VENDUE,Diesel,2011,6 cv,260.000 km,Rabat
VOLKSWAGEN Golf,180.000 DH  VENDUE,Diesel,2019,8 cv,90.000 km,Meknès
SKODA Octavia,168.000 DH  VENDUE,Diesel,2017,8 cv,110.000 km,Rabat
VOLKSWAGEN Passat,230.000 DH  VENDUE,Diesel,2018,8 cv,79.700 km,Casablanca
MERCEDES Classe A,179.000 DH  VENDUE,Diesel,2013,6 cv,81.000 km,Marrakech
CITROEN C4,100.000 DH  VENDUE,Diesel,2015,6 cv,176.000 km,Salé
VOLKSWAGEN Gol,25.000 DH  VENDUE,Essence,2005,6 cv,197.000 km,Agadir
MERCEDES Classe C,89.000 DH  VENDUE,Diesel,2003,9 cv,300.000 km,Rabat
NISSAN Juke,140.000 DH  VENDUE,Diesel,2016,6 cv,80.000 km,Casablanca
BMW X5,225.000 DH  VENDUE,Diesel,2013,12 cv,250.000 km,Rabat
SKODA Superb,230.000 DH  VENDUE,Diesel,2019,8 cv,65.000 km,Mohammadia
RENAULT Clio,107.000 DH  VENDUE,Diesel,2018,6 cv,106.000 km,Casablanca
HYUNDAI i30,87.000 DH  VENDUE,Diesel,2010,6 cv,147.000 km,Safi
NISSAN Qashqai,220.000 DH  VENDUE,Diesel,2021,6 cv,12.000 km,Marrakech
RENAULT Kangoo,110.000 DH  VENDUE,Diesel,2017,6 cv,52.000 km,Larache
FORD C-Max,135.000 DH  VENDUE,Diesel,2012,6 cv,190.000 km,Rabat
OPEL Astra,179.000 DH  VENDUE,Diesel,2019,6 cv,58.000 km,Rabat
VOLVO XC90,650.000 DH  VENDUE,Hybride,2021,11 cv,26.000 km,Casablanca
NISSAN Qashqai,125.000 DH  VENDUE,Diesel,2016,6 cv,137.000 km,Marrakech
HYUNDAI ix35,115.000 DH  VENDUE,Diesel,2011,8 cv,142.000 km,Agadir
VOLVO XC60,440.000 DH  VENDUE,Diesel,2021,8 cv,14.000 km,Fès
AUDI A6,177.000 DH  VENDUE,Diesel,2013,12 cv,100.000 km,Kénitra
RENAULT Clio,125.000 DH  VENDUE,Essence,2019,7 cv,15.239 km,Agadir
SEAT Leon,168.000 DH  VENDUE,Diesel,2015,8 cv,131.000 km,Casablanca
VOLKSWAGEN Golf,162.000 DH  VENDUE,Diesel,2016,8 cv,110.000 km,Rabat
AUDI A1,115.000 DH  VENDUE,Essence,2012,8 cv,67.236 km,Marrakech
OPEL Astra,144.000 DH  VENDUE,Diesel,2016,8 cv,54.900 km,Casablanca
OPEL Astra,180.000 DH  VENDUE,Diesel,2019,6 cv,48.000 km,Marrakech
CITROEN C3 AirCross,105.000 DH  VENDUE,Diesel,2020,6 cv,54.000 km,Casablanca
SKODA Octavia,149.000 DH  VENDUE,Diesel,2015,8 cv,124.000 km,Tanger
MERCEDES Classe A,260.000 DH  VENDUE,Diesel,2017,8 cv,73.000 km,Rabat
HYUNDAI i40,130.000 DH  VENDUE,Diesel,2013,7 cv,165.000 km,Meknès
MERCEDES GLA,265.000 DH  VENDUE,Diesel,2017,9 cv,100.000 km,Casablanca
BMW Série 1 Coupé,118.000 DH  VENDUE,Essence,2011,11 cv,95.000 km,Rabat
HYUNDAI Santa Fe,155.000 DH  VENDUE,Diesel,2014,9 cv,170.000 km,Casablanca
VOLKSWAGEN Caddy,179.000 DH  VENDUE,Diesel,2018,8 cv,76.000 km,Casablanca
AUDI A6,400.000 DH  VENDUE,Diesel,2020,8 cv,54.000 km,Rabat
VOLKSWAGEN Passat,230.000 DH  VENDUE,Diesel,2016,8 cv,90.000 km,Casablanca
DACIA Duster,115.000 DH  VENDUE,Diesel,2023,6 cv,210.000 km,Agadir
SEAT Leon,155.000 DH  VENDUE,Diesel,2016,6 cv,59.800 km,Rabat
RENAULT Clio,115.000 DH  VENDUE,Diesel,2016,6 cv,39.000 km,Kénitra
VOLKSWAGEN Touareg,305.000 DH  VENDUE,Diesel,2018,12 cv,87.000 km,Agadir
HONDA Civic,58.000 DH  VENDUE,Essence,2006,cv,255.000 km,Rabat
FORD Focus,173.000 DH  VENDUE,Diesel,2019,cv,92.100 km,Casablanca
JEEP Cherokee,248.000 DH  VENDUE,Diesel,2018,9 cv,89.000 km,Casablanca
LAND ROVER Discovery Sport,260.000 DH  VENDUE,Diesel,2018,8 cv,139.000 km,Casablanca
TOYOTA Yaris,115.000 DH  VENDUE,Essence,2019,6 cv,27.000 km,Casablanca
PEUGEOT 208,156.000 DH  VENDUE,Diesel,2020,6 cv,45.000 km,Casablanca
SEAT Leon,155.000 DH  VENDUE,Diesel,2019,6 cv,98.500 km,Casablanca
VOLKSWAGEN Golf,185.000 DH  VENDUE,Diesel,2019,8 cv,88.000 km,Meknès
FORD Fusion,58.000 DH  VENDUE,Diesel,2007,6 cv,220.000 km,Tanger
JEEP Grand Cherokee,220.000 DH  VENDUE,Diesel,2017,12 cv,65.400 km,Casablanca
MERCEDES Classe C,150.000 DH  VENDUE,Diesel,2012,9 cv,200.000 km,Marrakech
SEAT Leon,130.000 DH  VENDUE,Diesel,2013,7 cv,180.000 km,Casablanca
BMW Série 3,165.000 DH  VENDUE,Essence,2012,11 cv,100.000 km,Rabat
NISSAN Qashqai,185.000 DH  VENDUE,Diesel,2017,6 cv,180.000 km,Tanger
SEAT Ibiza,156.000 DH  VENDUE,Diesel,2021,6 cv,42.000 km,Casablanca
HONDA Accord,120.000 DH  VENDUE,Diesel,2014,9 cv,205.000 km,Casablanca
DACIA Logan,75.000 DH  VENDUE,Diesel,2009,6 cv,98.000 km,Casablanca
BMW Série 1,405.000 DH  VENDUE,Diesel,2021,8 cv,20.000 km,Casablanca
MERCEDES CLA Coupé,310.000 DH  VENDUE,Diesel,2018,9 cv,86.000 km,Casablanca
BMW X6,145.000 DH  VENDUE,Diesel,2008,12 cv,280.000 km,Marrakech
VOLKSWAGEN Golf,192.000 DH  VENDUE,Diesel,2018,8 cv,85.000 km,Rabat
OPEL Crossland,157.000 DH  VENDUE,Diesel,2018,7 cv,63.000 km,Casablanca
VOLKSWAGEN Passat,236.000 DH  VENDUE,Diesel,2012,8 cv,210.000 km,Rabat
VOLKSWAGEN Golf,123.000 DH  VENDUE,Diesel,2011,6 cv,156.000 km,Agadir
VOLKSWAGEN Golf,220.000 DH  VENDUE,Diesel,2017,8 cv,107.000 km,Casablanca
DACIA Logan,150.000 DH  VENDUE,Diesel,2022,6 cv,24.000 km,Casablanca
VOLKSWAGEN Golf,285.000 DH  VENDUE,Diesel,2018,8 cv,110.000 km,Meknès
DACIA Sandero,140.000 DH  VENDUE,Diesel,2021,6 cv,27.000 km,Agadir
VOLKSWAGEN Jetta,139.000 DH  VENDUE,Diesel,2016,6 cv,175.000 km,Kénitra
ALFA ROMEO MiTo,85.000 DH  VENDUE,Diesel,2023,6 cv,148.000 km,Rabat
KIA Picanto,52.000 DH  VENDUE,Essence,2006,6 cv,170.600 km,Tanger
RENAULT Clio,112.000 DH  VENDUE,Diesel,2017,6 cv,100.000 km,Casablanca
AUDI Q5,420.000 DH  VENDUE,Diesel,2020,8 cv,32.592 km,El Jadida
NISSAN Micra,148.000 DH  VENDUE,Diesel,2021,6 cv,45.900 km,Benslimane
DACIA Duster,165.000 DH  VENDUE,Diesel,2018,6 cv,104.000 km,Agadir
HYUNDAI i10,50.000 DH  VENDUE,Essence,2015,6 cv,178.000 km,Casablanca
FIAT 500,225.000 DH  VENDUE,Essence,2021,8 cv,16.000 km,Casablanca
AUDI Q7,290.000 DH  VENDUE,Diesel,2016,12 cv,190.000 km,Casablanca
RENAULT Clio,124.000 DH  VENDUE,Diesel,2018,6 cv,83.500 km,Casablanca
NISSAN Micra,155.000 DH  VENDUE,Diesel,2020,6 cv,42.000 km,Casablanca
HONDA CR-V,75.000 DH  VENDUE,Essence,2008,11 cv,140.800 km,Casablanca
RENAULT Clio,125.000 DH  VENDUE,Diesel,2018,6 cv,65.000 km,Marrakech
KIA Sorento,520.000 DH  VENDUE,Diesel,2022,9 cv,2.800 km,Tanger
BMW X3,395.000 DH  VENDUE,Diesel,2019,8 cv,27.000 km,Casablanca
FORD Fiesta,90.000 DH  VENDUE,Diesel,2012,6 cv,95.000 km,El Jadida
HYUNDAI i30,145.000 DH  VENDUE,Diesel,2015,6 cv,170.900 km,Rabat
MAZDA 3,86.000 DH  VENDUE,Diesel,2011,6 cv,160.000 km,Rabat
HYUNDAI Accent,80.000 DH  VENDUE,Diesel,2011,cv,147.500 km,Rabat
FORD Kuga,220.000 DH  VENDUE,Diesel,2020,6 cv,23.700 km,Agadir
BMW Série 3,138.000 DH  VENDUE,Diesel,2011,8 cv,170.000 km,Casablanca
VOLKSWAGEN Touran,235.000 DH  VENDUE,Diesel,2018,8 cv,100.000 km,Rabat
CITROEN C5 AirCross,265.000 DH  VENDUE,Diesel,2019,8 cv,25.000 km,El Jadida
NISSAN Qashqai,180.000 DH  VENDUE,Diesel,2016,6 cv,69.000 km,Rabat
SEAT Ibiza,110.000 DH  VENDUE,Essence,2018,6 cv,42.000 km,Casablanca
BMW Série 3,265.000 DH  VENDUE,Diesel,2015,8 cv,108.000 km,Casablanca
MERCEDES Classe E,120.000 DH  VENDUE,Essence,2009,17 cv,61.000 km,Casablanca
MERCEDES Classe E,440.000 DH  VENDUE,Diesel,2018,8 cv,146.000 km,Rabat
HYUNDAI i20,108.000 DH  VENDUE,Essence,2018,7 cv,30.500 km,Rabat
TOYOTA Corolla Berline,120.000 DH  VENDUE,Diesel,2014,6 cv,168.000 km,Casablanca
PEUGEOT 307,60.000 DH  VENDUE,Diesel,2005,6 cv,296.000 km,Mohammadia
RENAULT Scénic,55.000 DH  VENDUE,Diesel,2006,6 cv,310.000 km,Berrechid
TOYOTA C-HR,270.000 DH  VENDUE,Hybride,2021,10 cv,37.000 km,Casablanca
FIAT 500,255.000 DH  VENDUE,Essence,2020,8 cv,31.000 km,Marrakech
RENAULT R19,39.000 DH  VENDUE,Diesel,1997,7 cv,350.000 km,Tanger
RENAULT Mégane,17.600 DH  VENDUE,Diesel,2018,6 cv,46.500 km,Casablanca
FIAT Punto,64.000 DH  VENDUE,Essence,2010,7 cv,45.050 km,Rabat
VOLKSWAGEN Jetta,139.000 DH  VENDUE,Diesel,2016,6 cv,175.000 km,Kénitra
RENAULT Scénic,120.000 DH  VENDUE,Diesel,2013,6 cv,175.000 km,Casablanca
FORD Focus Sedan,113.000 DH  VENDUE,Diesel,2014,6 cv,107.000 km,Casablanca
FORD Fiesta,93.000 DH  VENDUE,Diesel,2016,6 cv,82.000 km,Casablanca
TOYOTA Yaris,59.000 DH  VENDUE,,2008,6 cv,160.000 km,Rabat
VOLKSWAGEN Tiguan,205.000 DH  VENDUE,Diesel,2014,8 cv,186.000 km,Oujda
VOLVO XC90,320.000 DH  VENDUE,Diesel,2017,8 cv,145.000 km,Casablanca
VOLKSWAGEN Jetta,220.000 DH  VENDUE,Diesel,2019,8 cv,70.000 km,Rabat
FORD Focus,159.000 DH  VENDUE,Diesel,2016,6 cv,139.000 km,Tanger
RENAULT Mégane Coupé,88.700 DH  VENDUE,Diesel,2011,7 cv,150.000 km,Rabat
VOLKSWAGEN Jetta,150.000 DH  VENDUE,Diesel,2016,6 cv,150.000 km,Casablanca
KIA Sportage,178.000 DH  VENDUE,Diesel,2016,8 cv,80.000 km,Rabat
RENAULT Clio,100.000 DH  VENDUE,Diesel,2016,6 cv,125.000 km,Fès
BMW Série 3,370.000 DH  VENDUE,Diesel,2020,8 cv,83.000 km,Casablanca
FORD Ka,73.000 DH  VENDUE,Essence,2013,cv,27.000 km,Rabat
CITROEN Berlingo,175.000 DH  VENDUE,Diesel,2022,cv,22.000 km,Casablanca
AUDI A8,190.000 DH  VENDUE,Diesel,2013,12 cv,175.000 km,Casablanca
FORD Focus,160.000 DH  VENDUE,Diesel,2022,6 cv,1.760.000 km,Casablanca
RENAULT Mégane,88.000 DH  VENDUE,Diesel,2010,cv,161.000 km,Salé
ALFA ROMEO Giulietta,190.000 DH  VENDUE,Diesel,2019,6 cv,62.000 km,Casablanca
MINI 3 portes,199.000 DH  VENDUE,Diesel,2017,9 cv,62.000 km,Marrakech
HYUNDAI Tucson,208.000 DH  VENDUE,Diesel,2016,6 cv,134.000 km,Safi
RENAULT Kangoo,107.000 DH  VENDUE,Diesel,2018,6 cv,122.000 km,Fès
DACIA Duster,120.000 DH  VENDUE,Diesel,2019,6 cv,54.000 km,Casablanca
AUDI Q5,160.000 DH  VENDUE,Diesel,2010,8 cv,200.600 km,Rabat
AUDI Q3,170.000 DH  VENDUE,Diesel,2013,8 cv,175.000 km,El Jadida
CITROEN C3 AirCross,175.000 DH  VENDUE,Diesel,2021,6 cv,32.000 km,Casablanca
FIAT Ducato,150.000 DH  VENDUE,Diesel,2022,8 cv,100.000 km,Marrakech
FORD Focus Sedan,85.000 DH  VENDUE,Diesel,2011,7 cv,159.000 km,Casablanca
OPEL Corsa,41.000 DH  VENDUE,Essence,2004,6 cv,227.000 km,Casablanca
BMW Série 3 GT,165.000 DH  VENDUE,Diesel,2013,8 cv,195.000 km,Casablanca
FIAT Tipo,118.000 DH  VENDUE,Diesel,2019,5 cv,55.000 km,Casablanca
MERCEDES Classe C,480.000 DH  VENDUE,Diesel,2018,8 cv,130.000 km,Temara
CITROEN C-Elysée,105.000 DH  VENDUE,Diesel,2017,6 cv,44.000 km,Casablanca
AUDI A3,35.000 DH  VENDUE,Essence,2022,9 cv,230.000 km,Marrakech
RENAULT Clio,115.000 DH  VENDUE,Diesel,2016,6 cv,76.800 km,Marrakech
VOLKSWAGEN Tiguan,210.000 DH  VENDUE,Diesel,2018,8 cv,110.000 km,Casablanca
SKODA Yeti,118.000 DH  VENDUE,Diesel,2013,8 cv,150.000 km,Rabat
FORD Mustang,290.000 DH  VENDUE,Essence,2016,13 cv,50.000 km,Casablanca
SKODA Karoq,290.000 DH  VENDUE,Diesel,2021,8 cv,22.600 km,Safi
PEUGEOT 208,133.000 DH  VENDUE,Diesel,2019,6 cv,56 km,El Jadida
HYUNDAI i30,100.000 DH  VENDUE,Diesel,2012,6 cv,180.000 km,Dakhla
RENAULT Clio,136.000 DH  VENDUE,Diesel,2020,6 cv,41.000 km,Rabat
HONDA Legend,62.000 DH  VENDUE,Essence,2008,20 cv,190.000 km,Casablanca
VOLVO V40,168.000 DH  VENDUE,Diesel,2017,8 cv,92.000 km,Casablanca
VOLKSWAGEN Polo Sedan,90.000 DH  VENDUE,Diesel,2014,6 cv,198.000 km,Casablanca
HYUNDAI Santa Fe,240.000 DH  VENDUE,Diesel,2018,9 cv,75.000 km,Casablanca
HYUNDAI i40,115.000 DH  VENDUE,Diesel,2012,7 cv,150.100 km,Casablanca
HYUNDAI i10,82.000 DH  VENDUE,Essence,2018,6 cv,50.200 km,Casablanca
HYUNDAI i30,155.000 DH  VENDUE,Diesel,2022,6 cv,106.000 km,Casablanca
SSANGYONG Kyron,67.000 DH  VENDUE,Diesel,2010,8 cv,150.000 km,Casablanca
DACIA Sandero,152.000 DH  VENDUE,Essence,2022,7 cv,13.900 km,Casablanca
JAGUAR XF,308.000 DH  VENDUE,Diesel,2018,8 cv,79.000 km,Casablanca
VOLKSWAGEN Golf,168.000 DH  VENDUE,Diesel,2015,8 cv,170.000 km,Agadir
RENAULT Mégane,107.000 DH  VENDUE,Diesel,2013,6 cv,149.000 km,Casablanca
SKODA Rapid,102.000 DH  VENDUE,Diesel,2013,6 cv,195.000 km,Mohammadia
VOLKSWAGEN Polo,67.000 DH  VENDUE,Diesel,2006,6 cv,206.000 km,Agadir
VOLKSWAGEN Polo,95.000 DH  VENDUE,Diesel,2014,5 cv,134.000 km,Casablanca
BMW Série 5,225.000 DH  VENDUE,Diesel,2012,8 cv,140.000 km,Rabat
BMW Série 7,245.000 DH  VENDUE,Diesel,2012,12 cv,240.000 km,Rabat
DACIA Sandero,125.000 DH  VENDUE,Diesel,2020,6 cv,70.000 km,Oujda
AUDI A3 Berline,190.000 DH  VENDUE,Diesel,2015,6 cv,120.000 km,Casablanca
PORSCHE Macan,450.000 DH  VENDUE,Diesel,2017,12 cv,72.000 km,Marrakech
BMW X3,240.000 DH  VENDUE,Diesel,2015,8 cv,51.000 km,Casablanca
VOLKSWAGEN Polo,67.000 DH  VENDUE,Diesel,2006,6 cv,252.000 km,Salé
HYUNDAI i30,109.000 DH  VENDUE,Diesel,2013,6 cv,199.000 km,Kénitra
CHEVROLET Cruze,100.000 DH  VENDUE,Diesel,2015,8 cv,194.000 km,Casablanca
VOLVO XC60,228.000 DH  VENDUE,Diesel,2017,8 cv,137.000 km,Casablanca
BMW X5,107.000 DH  VENDUE,Diesel,2010,12 cv,210.000 km,Casablanca
RENAULT Clio,103.000 DH  VENDUE,Diesel,2016,6 cv,125.000 km,Fès
OPEL Combo,155.000 DH  VENDUE,Diesel,2020,6 cv,68.000 km,Casablanca
DACIA Dokker,125.000 DH  VENDUE,Diesel,2021,6 cv,19.500 km,Casablanca
CHEVROLET Cruze,77.000 DH  VENDUE,Diesel,2013,8 cv,300.000 km,Fès
FORD Focus,153.000 DH  VENDUE,Diesel,2017,6 cv,96.000 km,Agadir
NISSAN Qashqai,153.000 DH  VENDUE,Diesel,2016,6 cv,202.962 km,Casablanca
NISSAN Qashqai,128.000 DH  VENDUE,Diesel,2011,6 cv,151.000 km,Casablanca
VOLKSWAGEN Passat,130.000 DH  VENDUE,Diesel,2013,8 cv,110.000 km,Casablanca
RENAULT Mégane,177.000 DH  VENDUE,Diesel,2022,6 cv,71.000 km,Casablanca
AUDI A4,160.000 DH  VENDUE,Diesel,2014,8 cv,220.000 km,Agadir
JAGUAR XF,100.000 DH  VENDUE,Diesel,2010,12 cv,229.000 km,Casablanca
AUDI Q5,460.000 DH  VENDUE,Diesel,2021,8 cv,47.000 km,Casablanca
AUDI Q5,385.000 DH  VENDUE,Diesel,2018,8 cv,93.020 km,Agadir
CITROEN C3,130.000 DH  VENDUE,Diesel,2018,6 cv,87.000 km,Kénitra
HYUNDAI Santa Fe,105.000 DH  VENDUE,Diesel,2011,8 cv,222.000 km,Casablanca
HYUNDAI i10,78.000 DH  VENDUE,Essence,2018,7 cv,58.000 km,Kelaat Sraghna
PEUGEOT 508,115.000 DH  VENDUE,Diesel,2011,9 cv,187.000 km,Casablanca
VOLKSWAGEN Caddy,220.000 DH  VENDUE,Diesel,2020,8 cv,41.000 km,Casablanca
DACIA Sandero,70.000 DH  VENDUE,Essence,2013,8 cv,104.850 km,Tanger
VOLKSWAGEN CC,190.000 DH  VENDUE,Hybride,2016,8 cv,150.000 km,Casablanca
MERCEDES Classe E,150.000 DH  VENDUE,Diesel,2009,9 cv,190.000 km,Casablanca
VOLVO V40,130.000 DH  VENDUE,Essence,2015,cv,45.000 km,Casablanca
BMW Série 3,173.000 DH  VENDUE,Essence,2012,11 cv,99.000 km,Rabat
SEAT Ibiza,110.000 DH  VENDUE,Diesel,2017,6 cv,40.000 km,Temara
TOYOTA Corolla Sport,220.000 DH  VENDUE,Hybride,2020,8 cv,43.000 km,Casablanca
HYUNDAI Accent,128.000 DH  VENDUE,Diesel,2017,6 cv,90.200 km,Agadir
BMW Série 1,169.000 DH  VENDUE,Diesel,2017,6 cv,100.000 km,Kénitra
VOLKSWAGEN Polo,120.000 DH  VENDUE,Diesel,2016,7 cv,68.000 km,Rabat
CITROEN C3,120.000 DH  VENDUE,Diesel,2019,6 cv,29.000 km,Casablanca
AUDI A3,113.000 DH  VENDUE,Diesel,2013,8 cv,217.000 km,Fès
PEUGEOT 508,138.000 DH  VENDUE,Diesel,2015,8 cv,111.000 km,Rabat
SKODA Octavia,177.000 DH  VENDUE,Diesel,2017,8 cv,130.000 km,Agadir
